Size (bp),A2,A3,A4,A5
194.94,2.80,1.18,3.41,18.60
195.50,2.42,1.19,2.93,18.44
196.06,2.03,1.19,2.53,17.99
196.62,2.32,1.11,2.13,17.53
197.19,2.62,1.19,1.85,17.08
197.75,3.29,1.26,1.57,15.68
198.31,3.95,1.27,1.47,14.28
198.87,4.20,1.28,1.37,13.06
199.44,4.45,1.01,1.14,11.83
200.00,3.64,0.74,0.83,11.62
201.00,3.13,0.49,0.51,11.40
201.63,2.62,0.24,0.25,11.19
202.27,2.41,0.07,0.00,11.60
202.90,2.21,0.03,0.18,12.01
203.54,2.15,0.00,0.37,12.75
204.17,2.09,0.24,0.89,13.48
204.81,2.03,0.48,1.41,14.53
205.44,2.16,1.01,2.02,15.58
206.08,2.30,1.55,2.64,16.31
206.71,2.45,1.92,3.93,17.03
207.35,2.60,2.29,4.48,17.75
207.98,2.46,2.82,5.03,18.23
208.62,2.33,3.41,5.19,18.70
209.25,1.82,4.00,5.35,18.65
209.88,1.95,4.64,5.04,18.59
210.52,2.09,5.28,4.72,18.82
211.15,2.71,5.43,4.19,19.06
211.79,3.34,5.58,3.65,19.62
212.42,3.88,5.32,3.28,20.19
213.06,4.42,5.05,2.90,20.76
213.69,4.37,4.13,2.95,21.66
214.33,4.31,3.62,3.33,22.56
214.96,3.36,3.10,3.70,22.87
215.60,2.97,2.80,4.14,23.17
216.23,2.57,2.50,4.58,23.04
216.87,2.44,2.60,4.88,22.91
217.50,2.32,2.71,5.17,22.78
218.13,2.15,2.97,5.34,22.74
218.77,1.98,3.24,5.51,22.71
219.40,0.90,3.56,5.79,23.15
220.04,0.45,3.65,6.06,23.60
220.67,0.00,3.74,6.78,24.39
221.31,0.35,3.69,6.66,25.19
221.94,0.70,3.64,6.54,25.94
222.58,1.59,3.35,5.58,26.69
223.21,2.48,3.06,4.62,27.44
223.85,3.20,2.62,3.49,28.80
224.48,3.92,2.19,2.35,30.17
225.12,5.15,1.15,2.06,31.18
225.75,5.91,0.82,1.77,32.19
