Size (bp),G1: 10454879 	Wang	Ph0,G2: 10454879 	Wang	Ph1,G3: 10454879 	Wang	Ph2,G4: 10454879 	Wang	Ctrl,G5: 10454879 	Wang	FoxA
192.12,93.69,54.93,13.65,6.38,28.85
192.69,80.08,46.55,11.92,5.71,26.00
193.25,67.86,38.18,10.19,5.04,19.85
193.81,55.64,37.70,10.53,5.24,17.43
194.37,49.27,37.22,10.87,5.44,15.01
194.94,42.89,43.84,12.82,6.20,14.05
195.50,45.22,50.46,14.76,6.95,13.09
196.06,47.55,57.08,16.40,7.97,14.03
196.62,54.88,63.70,18.03,8.98,14.96
197.19,62.22,65.46,18.12,9.74,16.57
197.75,71.20,67.22,18.20,10.50,18.18
198.31,71.85,68.88,17.83,10.36,18.57
198.87,72.50,70.54,17.46,10.22,18.97
199.44,77.97,78.40,18.24,9.28,18.10
200.00,83.45,86.25,19.01,8.34,17.22
201.00,97.53,94.82,20.05,7.57,16.84
201.63,111.61,103.40,21.09,6.81,16.46
202.27,121.72,100.24,19.99,6.86,17.35
202.90,131.84,97.09,18.89,6.90,18.23
203.54,123.41,80.86,15.56,7.47,18.84
204.17,114.98,64.63,12.23,7.02,19.46
204.81,92.08,47.01,9.12,6.56,17.97
205.44,69.18,29.40,6.00,5.28,16.48
206.08,48.54,19.32,4.60,4.01,13.21
206.71,27.90,9.23,3.20,2.77,9.93
207.35,18.08,5.73,2.80,1.53,6.87
207.98,8.26,2.23,2.40,1.01,3.81
208.62,5.70,0.42,2.12,0.48,2.31
209.25,3.15,0.23,1.84,0.59,0.80
209.88,2.57,0.05,1.68,0.69,0.40
210.52,1.99,0.19,1.51,0.96,0.55
211.15,1.74,0.34,1.57,1.23,0.70
211.79,1.49,0.75,1.63,1.39,0.64
212.42,1.58,1.17,1.75,1.54,0.58
213.06,1.66,1.68,1.87,1.64,0.38
213.69,1.75,2.18,1.74,1.74,0.18
214.33,1.83,2.32,1.53,1.71,0.09
214.96,1.59,2.47,1.31,1.68,0.00
215.60,1.35,2.00,1.33,1.37,0.14
216.23,0.96,1.53,1.35,1.05,0.28
216.87,0.56,0.87,1.68,0.78,0.57
217.50,0.00,0.21,2.02,0.50,0.86
218.13,0.00,0.11,2.18,0.61,1.09
218.77,0.00,0.00,2.34,0.71,1.32
219.40,0.40,0.64,2.02,0.89,1.23
220.04,0.80,1.27,1.71,1.07,1.14
220.67,1.51,2.14,1.19,0.95,0.79
221.31,2.21,3.01,0.67,0.84,0.43
221.94,2.82,3.50,0.34,0.58,0.22
222.58,3.42,3.99,0.01,0.32,0.00
223.21,3.81,4.00,0.00,0.16,0.10
223.85,4.19,4.01,0.00,0.00,0.20
224.48,4.29,3.89,0.31,0.00,0.54
225.12,4.38,3.78,0.62,0.00,0.89
225.75,4.14,3.82,1.11,0.24,1.60
226.38,3.90,3.86,1.60,0.48,1.87
227.02,3.83,4.17,2.11,1.39,2.15
227.65,3.75,4.48,2.63,1.84,2.36
228.29,4.45,6.63,3.15,2.29,2.57
228.92,5.15,9.19,3.67,2.70,2.77
229.56,6.73,11.76,4.68,3.10,2.97
230.19,8.31,15.56,5.69,3.68,3.28
230.83,10.66,19.36,7.54,4.26,3.59
231.46,13.02,22.90,9.38,5.25,4.26
232.10,15.82,26.44,11.23,6.24,4.93
232.73,18.62,28.29,13.08,7.54,6.10
233.37,21.07,30.14,13.82,8.84,7.26
234.00,23.53,29.69,14.57,10.01,8.64
234.63,24.86,29.25,14.16,11.19,10.02
235.27,26.20,26.59,13.75,12.01,11.07
235.90,25.86,23.93,11.50,12.83,12.11
236.54,24.04,20.07,9.93,13.04,12.29
237.17,22.21,16.20,8.35,13.25,12.47
237.81,19.24,12.86,7.05,12.42,11.55
238.44,16.26,9.52,5.74,11.60,10.62
239.08,13.58,7.59,5.53,9.95,8.90
239.71,10.89,5.67,5.33,8.31,7.18
240.35,9.61,4.81,5.81,6.77,5.49
240.98,8.32,3.95,6.29,5.23,3.81
241.62,8.14,3.86,6.26,4.37,1.98
242.25,7.97,3.77,6.22,3.51,1.79
242.88,8.23,4.76,5.66,3.26,1.61
243.52,8.50,5.75,5.09,3.01,1.72
244.15,9.40,7.76,5.05,2.96,1.82
244.79,10.30,9.77,5.01,2.90,2.10
245.42,11.99,11.47,5.59,2.70,2.38
246.06,13.68,13.17,6.18,2.49,2.95
246.69,14.96,13.14,6.40,2.23,3.51
247.33,16.24,13.10,6.63,1.96,4.09
247.96,15.67,11.76,6.28,1.86,4.68
248.60,15.10,10.41,5.93,1.76,4.75
249.23,13.16,8.41,5.86,1.80,4.83
249.87,11.21,8.39,5.79,1.84,4.28
250.50,9.80,8.38,6.23,2.17,3.74
251.13,8.39,8.67,6.67,2.63,3.00
251.77,8.46,8.97,6.92,3.08,2.26
252.40,8.54,8.85,7.17,3.68,1.70
253.04,9.16,8.74,6.96,4.27,1.15
253.67,9.77,8.03,6.76,4.62,0.88
254.31,9.58,7.32,6.59,4.97,0.62
254.94,9.39,6.20,6.42,4.93,0.78
255.58,7.11,5.08,6.43,4.89,0.94
256.21,5.78,3.99,6.44,4.64,1.51
256.85,4.45,2.91,6.21,4.40,2.08
257.48,3.37,2.30,5.99,4.17,2.60
258.12,2.29,1.68,4.79,3.95,3.13
258.75,1.62,1.54,4.02,3.81,3.14
259.38,0.95,1.40,3.25,3.67,2.71
260.02,0.86,1.23,2.53,3.59,2.29
260.65,0.76,1.05,1.81,3.52,1.92
261.29,1.01,0.67,1.22,3.56,1.56
261.92,1.26,0.28,0.63,3.60,1.42
262.56,1.31,0.14,0.31,3.65,1.27
263.19,1.36,0.00,0.00,3.70,1.07
263.83,1.13,0.32,0.09,3.56,0.86
264.46,0.90,0.64,0.18,3.42,0.51
265.10,0.73,1.01,0.62,3.21,0.16
265.73,0.56,1.38,1.06,3.00,0.08
266.37,0.46,1.42,1.45,2.94,0.00
267.00,0.36,1.46,1.84,2.87,0.48
267.63,0.21,1.21,2.03,2.85,0.96
268.27,0.07,0.96,2.23,2.84,1.71
268.90,0.11,0.43,2.53,2.74,2.46
269.54,0.15,0.54,2.84,2.64,2.85
270.17,0.52,0.66,3.40,2.67,3.25
270.81,0.89,1.30,3.97,2.69,3.19
271.44,1.31,1.94,4.43,3.10,3.14
272.08,1.74,2.70,4.90,3.51,3.20
272.71,2.03,3.46,4.90,4.07,3.25
273.35,2.32,3.98,4.91,4.62,3.71
273.98,2.98,4.51,4.70,5.11,4.18
274.62,3.43,4.86,4.49,4.89,5.15
275.25,3.88,5.21,4.43,4.66,5.28
275.88,4.24,5.39,4.37,4.16,5.40
276.52,4.60,5.57,4.41,3.65,5.21
277.15,4.77,5.39,4.44,3.20,5.02
277.79,4.93,5.21,4.40,2.75,4.60
278.42,4.87,4.62,4.36,2.49,4.19
279.06,4.81,4.03,4.13,2.24,3.66
279.69,4.42,3.24,4.14,1.98,3.13
280.33,4.02,2.45,4.14,1.72,2.89
280.96,3.44,1.93,4.31,1.41,2.65
281.60,2.87,1.42,4.48,1.09,3.00
282.23,2.54,1.59,4.42,1.00,3.34
282.87,2.22,1.76,4.36,0.92,3.79
283.50,2.39,2.44,3.86,1.24,4.24
284.13,2.57,3.12,3.37,1.56,4.07
284.77,3.12,3.60,2.88,2.01,3.90
285.40,3.66,4.08,2.39,2.46,3.17
286.04,4.04,3.97,2.21,2.81,2.45
286.67,4.42,3.86,2.04,3.16,1.86
287.31,4.05,3.41,2.00,3.40,1.28
287.94,3.67,2.95,1.97,3.64,1.36
288.58,2.76,1.92,2.06,3.78,1.44
289.21,1.85,1.51,2.15,3.93,2.07
289.85,1.19,1.10,2.44,3.98,2.69
290.48,0.53,1.00,2.73,4.04,3.16
291.12,0.37,0.89,3.03,3.90,3.63
291.75,0.22,1.18,3.33,3.77,3.23
292.38,0.26,1.46,3.42,3.20,2.62
293.02,0.30,1.98,3.51,2.64,2.00
293.65,0.53,2.51,3.44,1.84,1.49
294.29,0.70,3.03,3.36,1.04,0.99
294.92,0.88,3.55,3.30,0.79,0.79
295.56,0.97,3.83,3.23,0.53,0.59
296.19,1.06,4.12,3.09,1.67,0.59
296.83,1.13,3.99,2.94,2.28,0.60
297.46,1.20,3.87,2.56,2.89,0.71
