Size (bp),G1: 10454879 	Wang	Ph0,G2: 10454879 	Wang	Ph1,G3: 10454879 	Wang	Ph2,G4: 10454879 	Wang	Ctrl,G5: 10454879 	Wang	FoxA
13485.56,3.61,4.23,7.16,1.90,4.79
13512.39,3.36,4.43,6.61,2.15,4.54
13539.22,2.95,4.62,6.07,2.54,4.49
13566.05,2.53,4.91,5.59,2.93,4.45
13592.88,2.27,5.20,5.11,3.24,4.53
13619.71,2.01,5.32,4.82,3.56,4.62
13646.54,2.14,5.44,4.54,3.96,4.43
13673.37,2.26,5.12,4.26,4.37,4.24
13700.20,2.96,4.79,3.97,4.88,3.81
13727.03,3.17,4.04,3.73,5.39,3.38
13753.86,3.39,3.30,3.49,5.53,3.30
13780.69,3.29,2.71,3.56,5.67,3.22
13807.52,3.20,2.12,3.64,5.06,3.78
13834.36,2.93,2.23,4.18,4.46,4.33
13861.19,2.66,2.34,4.73,3.37,4.92
13888.02,2.46,2.89,6.16,2.28,5.52
13914.85,2.26,3.45,6.41,1.33,5.47
13941.68,2.23,3.84,6.65,0.38,5.42
13968.51,2.19,4.23,6.25,0.19,4.18
13995.34,2.16,4.29,5.84,0.00,3.58
14022.17,2.13,4.11,5.37,0.68,2.98
14049.00,1.98,3.93,4.90,1.36,2.66
14075.83,1.83,3.76,4.91,2.13,2.35
14102.66,1.74,3.59,4.92,2.90,2.26
14129.49,1.66,3.58,5.26,3.06,2.18
14156.32,1.90,3.56,5.61,3.21,2.25
14183.15,2.14,3.58,5.72,3.03,2.33
14209.98,2.61,3.61,5.84,2.86,2.42
14236.81,3.08,3.55,5.47,3.00,2.52
14263.64,3.56,3.49,5.10,3.31,2.51
14290.47,4.04,3.37,4.60,3.61,2.51
14317.30,4.38,3.24,4.11,3.77,2.58
14344.13,4.72,2.89,3.91,3.93,2.65
14370.96,4.77,2.54,3.71,3.88,2.91
14397.79,4.81,1.85,3.63,3.82,3.17
14424.62,4.54,1.16,3.55,3.83,3.29
14451.45,4.27,0.58,3.28,3.84,3.41
14478.28,3.50,0.00,3.00,3.89,2.97
14505.11,3.14,0.00,2.73,3.94,2.52
14531.94,2.79,0.00,2.46,3.60,1.71
14558.77,2.44,0.00,2.42,3.27,0.91
14585.60,2.09,0.00,2.38,2.51,0.45
14612.43,1.92,0.00,2.38,1.74,0.00
14639.26,1.75,0.00,2.38,1.24,0.10
14666.09,2.02,0.00,2.28,0.73,0.42
14692.92,2.29,0.00,2.19,1.10,0.74
14719.75,2.75,0.00,2.00,1.47,1.08
14746.58,3.21,0.00,1.81,2.34,1.42
14773.41,3.41,0.11,1.39,3.21,1.65
14800.24,3.61,0.22,0.97,3.72,1.88
14827.07,3.56,0.94,0.00,4.24,1.82
14853.90,3.51,1.22,0.00,4.32,1.77
14880.73,3.42,1.49,0.00,4.40,1.34
14907.56,3.34,1.40,0.49,4.42,0.92
14934.39,3.07,1.31,0.97,4.45,0.46
14961.22,2.80,0.97,1.43,4.32,0.00
14988.05,2.11,0.62,1.89,4.19,0.00
15014.88,1.42,0.45,2.01,3.77,0.00
15041.71,0.71,0.28,2.13,3.35,0.00
15068.54,0.00,0.42,2.15,2.89,0.00
15095.37,0.00,0.55,2.16,2.43,0.00
15122.20,0.00,0.67,2.14,1.97,0.00
15149.03,0.34,0.79,2.11,1.51,0.00
15175.86,0.68,0.69,1.96,0.99,0.00
15202.69,0.97,0.59,1.82,0.47,0.00
15229.52,1.27,0.30,1.70,0.00,0.00
15256.35,1.11,0.00,1.59,0.29,0.00
15283.18,0.95,0.00,1.63,0.58,0.00
15310.01,0.00,0.00,1.67,1.10,0.00
15336.84,0.00,0.00,1.86,1.63,0.00
15363.67,0.00,0.00,2.04,2.04,0.00
15390.50,0.00,0.00,2.25,2.44,0.00
15417.33,0.00,0.00,2.47,2.69,0.00
15444.16,0.00,0.00,2.41,2.93,0.00
15470.99,0.00,0.00,2.35,2.98,0.00
15497.82,0.00,0.00,1.83,3.04,0.00
15524.65,0.00,0.00,1.32,2.75,0.00
15551.48,0.00,0.00,0.66,2.46,0.00
15578.31,0.00,0.00,0.00,1.89,0.00
15605.14,0.00,0.00,0.00,1.32,0.00
15631.97,0.00,0.00,0.00,0.86,0.00
15658.80,0.00,0.00,0.00,0.39,0.00
15685.63,0.00,0.00,0.00,0.19,0.00
15712.46,0.00,0.00,0.00,0.00,0.00
15739.29,0.00,0.00,0.00,0.00,0.00
15766.12,0.00,0.00,0.00,0.00,0.00
15792.96,0.00,0.00,0.00,0.00,0.00
15819.79,0.00,0.00,0.00,0.00,0.00
15846.62,0.00,0.00,0.00,0.00,0.00
15873.45,0.00,0.00,0.00,0.00,0.00
15900.28,0.00,0.00,0.00,0.00,0.00
15927.11,0.00,0.00,0.00,0.00,0.00
15953.94,0.00,0.00,0.00,0.00,0.00
15980.77,0.00,0.00,0.00,0.00,0.00
16007.60,0.00,0.00,0.00,0.00,0.00
16034.43,0.00,0.00,0.00,0.00,0.00
16061.26,0.00,0.00,0.00,0.00,0.00
16088.09,0.00,0.00,0.00,0.00,0.00
16114.92,0.00,0.00,0.00,0.00,0.00
16141.75,0.00,0.00,0.00,0.00,0.00
16168.58,0.00,0.00,0.00,0.00,0.00
16195.41,0.00,0.00,0.00,0.00,0.00
16222.24,0.00,0.00,0.00,0.00,0.00
16249.07,0.00,0.00,0.00,0.00,0.00
16275.90,0.00,0.00,0.00,0.00,0.00
16302.73,0.00,0.00,0.00,0.00,0.00
16329.56,0.00,0.00,0.00,0.00,0.00
16356.39,0.00,0.00,0.00,0.00,0.00
16383.22,0.00,0.00,0.00,0.00,0.00
16410.05,0.00,0.00,0.00,0.00,0.00
16436.88,0.00,0.00,0.00,0.00,0.00
16463.71,0.00,0.00,0.00,0.00,0.00
16490.54,0.00,0.00,0.00,0.00,0.00
16517.37,0.00,0.00,0.00,0.00,0.00
16544.20,0.00,0.00,0.00,0.00,0.00
16571.03,0.00,0.00,0.00,0.00,0.00
16597.86,0.00,0.00,0.00,0.00,0.00
16624.69,0.00,0.00,0.00,0.00,0.00
16651.52,0.00,0.00,0.00,0.00,0.00
16678.35,0.00,0.00,0.00,0.00,0.00
16705.18,0.00,0.00,0.00,0.00,0.00
16732.01,0.00,0.00,0.00,0.00,0.00
16758.84,0.00,0.00,0.00,0.00,0.00
16785.67,0.00,0.00,0.00,0.00,0.00
16812.50,0.00,0.00,0.00,0.00,0.00
16839.33,0.00,0.00,0.00,0.00,0.00
16866.16,0.00,0.00,0.00,0.00,0.00
16892.99,0.00,0.00,0.00,0.00,0.00
16919.82,0.00,0.00,0.00,0.00,0.00
16946.65,0.00,0.00,0.00,0.00,0.00
16973.48,0.00,0.00,0.00,0.00,0.00
17000.31,0.00,0.00,0.00,0.00,0.00
17027.14,0.00,0.00,0.00,0.00,0.00
17053.97,0.00,0.00,0.00,0.00,0.00
17080.80,0.00,0.00,0.00,0.00,0.00
17107.63,0.00,0.00,0.00,0.00,0.00
17134.46,0.00,0.00,0.00,0.00,0.00
17161.29,0.00,0.00,0.00,0.00,0.00
17188.12,0.00,0.00,0.00,0.00,0.00
17214.95,0.00,0.00,0.00,0.00,0.00
17241.78,0.00,0.00,0.00,0.00,0.00
17268.61,0.00,0.00,0.00,0.00,0.00
17295.44,0.00,0.00,0.00,0.00,0.00
17322.27,0.00,0.00,0.00,0.00,0.00
17349.10,0.00,0.00,0.00,0.00,0.00
17375.93,0.00,0.00,0.00,0.00,0.00
17402.76,0.00,0.00,0.00,0.00,0.00
17429.59,0.00,0.00,0.00,0.00,0.00
17456.42,0.00,0.00,0.00,0.00,0.00
17483.25,0.00,0.00,0.00,0.00,0.00
17510.08,0.00,0.00,0.00,0.00,0.00
17536.91,0.00,0.00,0.00,0.00,0.00
17563.74,0.00,0.00,0.00,0.00,0.00
17590.57,0.00,0.00,0.00,0.00,0.00
17617.40,0.00,0.00,0.00,0.00,0.00
17644.23,0.00,0.00,0.00,0.00,0.00
17671.06,0.00,0.00,0.00,0.00,0.00
17697.89,0.00,0.00,0.00,0.00,0.00
17724.72,0.00,0.00,0.00,0.00,0.00
17751.55,0.00,0.00,0.00,0.00,0.00
17778.38,0.00,0.00,0.00,0.00,0.00
17805.21,0.00,0.00,0.00,0.00,0.00
17832.04,0.00,0.00,0.00,0.00,0.00
17858.87,0.00,0.00,0.00,0.00,0.00
17885.71,0.00,0.00,0.00,0.00,0.00
17912.54,0.00,0.00,0.00,0.00,0.00
17939.37,0.00,0.00,0.00,0.00,0.00
17966.20,0.00,0.00,0.00,0.00,0.00
17993.03,0.00,0.00,0.00,0.00,0.00
18019.86,0.00,0.00,0.00,0.00,0.00
18046.69,0.00,0.00,0.00,0.00,0.00
18073.52,0.00,0.00,0.00,0.00,0.00
18100.35,0.00,0.00,0.00,0.00,0.00
18127.18,0.00,0.00,0.00,0.00,0.00
18154.01,0.00,0.00,0.00,0.00,0.00
18180.84,0.00,0.00,0.00,0.00,0.00
18207.67,0.00,0.00,0.00,0.00,0.00
18234.50,0.00,0.00,0.00,0.00,0.00
18261.33,0.00,0.00,0.00,0.00,0.00
18288.16,0.00,0.00,0.00,0.00,0.00
18314.99,0.00,0.00,0.00,0.00,0.00
18341.82,0.00,0.00,0.00,0.00,0.00
18368.65,0.00,0.00,0.00,0.00,0.00
18395.48,0.00,0.00,0.00,0.00,0.00
18422.31,0.00,0.00,0.00,0.00,0.00
18449.14,0.00,0.00,0.00,0.00,0.00
18475.97,0.00,0.00,0.00,0.00,0.00
18502.80,0.00,0.00,0.00,0.00,0.00
18529.63,0.00,0.00,0.00,0.00,0.00
18556.46,0.00,0.00,0.00,0.00,0.00
18583.29,0.00,0.00,0.00,0.00,0.00
18610.12,0.00,0.00,0.00,0.00,0.00
18636.95,0.00,0.00,0.00,0.00,0.00
18663.78,0.00,0.00,0.00,0.00,0.00
18690.61,0.00,0.00,0.00,0.00,0.00
18717.44,0.00,0.00,0.00,0.00,0.00
18744.27,0.00,0.00,0.00,0.00,0.00
18771.10,0.00,0.00,0.00,0.00,0.00
18797.93,0.00,0.00,0.00,0.00,0.00
18824.76,0.00,0.00,0.00,0.00,0.00
18851.59,0.00,0.00,0.00,0.00,0.00
18878.42,0.00,0.00,0.00,0.00,0.00
18905.25,0.00,0.00,0.00,0.00,0.00
18932.08,0.00,0.00,0.00,0.00,0.00
18958.91,0.00,0.00,0.00,0.00,0.00
18985.74,0.00,0.00,0.00,0.00,0.00
19012.57,0.00,0.00,0.00,0.00,0.00
19039.40,0.00,0.00,0.00,0.00,0.00
19066.23,0.00,0.00,0.00,0.00,0.00
19093.06,0.00,0.00,0.00,0.00,0.00
19119.89,0.00,0.00,0.00,0.00,0.00
19146.72,0.00,0.00,0.00,0.00,0.00
19173.55,0.00,0.00,0.00,0.00,0.00
19200.38,0.00,0.00,0.00,0.00,0.00
19227.21,0.00,0.00,0.00,0.00,0.00
19254.04,0.00,0.00,0.00,0.00,0.00
19280.87,0.00,0.00,0.00,0.00,0.00
19307.70,0.00,0.00,0.00,0.00,0.00
19334.53,0.00,0.00,0.00,0.00,0.00
19361.36,0.00,0.00,0.00,0.00,0.00
19388.19,0.00,0.00,0.00,0.00,0.00
19415.02,0.00,0.00,0.00,0.00,0.00
19441.85,0.00,0.00,0.00,0.00,0.00
19468.68,0.00,0.00,0.00,0.00,0.00
19495.51,0.00,0.00,0.00,0.00,0.00
19522.34,0.00,0.00,0.00,0.00,0.00
19549.17,0.00,0.00,0.00,0.00,0.00
19576.00,0.00,0.00,0.00,0.00,0.00
19602.83,0.00,0.00,0.00,0.00,0.00
19629.66,0.00,0.00,0.00,0.00,0.00
19656.49,0.00,0.00,0.00,0.00,0.00
19683.32,0.00,0.00,0.00,0.00,0.00
19710.15,0.00,0.00,0.00,0.00,0.00
19736.98,0.00,0.00,0.00,0.00,0.00
19763.81,0.00,0.00,0.00,0.00,0.00
19790.64,0.00,0.00,0.00,0.00,0.00
19817.47,0.00,0.00,0.00,0.00,0.00
19844.30,0.00,0.00,0.00,0.00,0.00
19871.13,0.00,0.00,0.00,0.00,0.00
19897.96,0.00,0.00,0.00,0.00,0.00
19924.79,0.00,0.00,0.00,0.00,0.00
19951.62,0.00,0.00,0.00,0.00,0.00
19978.46,0.00,0.00,0.00,0.00,0.00
20005.29,0.00,0.00,0.00,0.00,0.00
20032.12,0.00,0.00,0.00,0.00,0.00
20058.95,0.00,0.00,0.00,0.00,0.00
20085.78,0.00,0.00,0.00,0.00,0.00
20112.61,0.00,0.00,0.00,0.00,0.00
20139.44,0.00,0.00,0.00,0.00,0.00
20166.27,0.00,0.00,0.00,0.00,0.00
20193.10,0.00,0.00,0.00,0.00,0.00
20219.93,0.00,0.00,0.00,0.00,0.00
20246.76,0.00,0.00,0.00,0.00,0.00
20273.59,0.00,0.00,0.00,0.00,0.00
20300.42,0.00,0.00,0.00,0.00,0.00
20327.25,0.00,0.00,0.00,0.00,0.00
20354.08,0.00,0.00,0.00,0.00,0.00
20380.91,0.00,0.00,0.00,0.00,0.00
20407.74,0.00,0.00,0.00,0.00,0.00
20434.57,0.00,0.00,0.00,0.00,0.00
20461.40,0.00,0.00,0.00,0.00,0.00
20488.23,0.00,0.00,0.00,0.00,0.00
20515.06,0.00,0.00,0.00,0.00,0.00
20541.89,0.00,0.00,0.00,0.00,0.00
20568.72,0.00,0.00,0.00,0.00,0.00
20595.55,0.00,0.00,0.00,0.00,0.00
20622.38,0.00,0.00,0.00,0.00,0.00
20649.21,0.00,0.00,0.00,0.00,0.00
20676.04,0.00,0.00,0.00,0.00,0.00
20702.87,0.00,0.00,0.00,0.00,0.00
20729.70,0.00,0.00,0.00,0.00,0.00
20756.53,0.00,0.00,0.00,0.00,0.00
20783.36,0.00,0.00,0.00,0.00,0.00
20810.19,0.00,0.00,0.00,0.00,0.00
20837.02,0.00,0.00,0.00,0.00,0.00
20863.85,0.00,0.00,0.00,0.00,0.00
20890.68,0.00,0.00,0.00,0.00,0.00
20917.51,0.00,0.00,0.00,0.00,0.00
20944.34,0.00,0.00,0.00,0.00,0.00
20971.17,0.00,0.00,0.00,0.00,0.00
20998.00,0.00,0.00,0.00,0.00,0.00
21024.83,0.00,0.00,0.00,0.00,0.00
21051.66,0.00,0.00,0.00,0.00,0.00
21078.49,0.00,0.00,0.00,0.00,0.00
21105.32,0.00,0.00,0.00,0.00,0.00
21132.15,0.00,0.00,0.00,0.00,0.00
21158.98,0.00,0.00,0.00,0.00,0.00
21185.81,0.00,0.00,0.00,0.00,0.00
21212.64,0.00,0.00,0.00,0.00,0.00
21239.47,0.00,0.00,0.00,0.00,0.00
21266.30,0.00,0.00,0.00,0.00,0.00
21293.13,0.00,0.00,0.00,0.00,0.00
21319.96,0.00,0.00,0.00,0.00,0.00
21346.79,0.00,0.00,0.00,0.00,0.00
21373.62,0.00,0.00,0.00,0.00,0.00
21400.45,0.00,0.00,0.00,0.00,0.00
21427.28,0.00,0.00,0.00,0.00,0.00
21454.11,0.00,0.00,0.00,0.00,0.00
21480.94,0.00,0.00,0.00,0.00,0.00
21507.77,0.00,0.00,0.00,0.00,0.00
21534.60,0.00,0.00,0.00,0.00,0.00
21561.43,0.00,0.00,0.00,0.00,0.00
21588.26,0.00,0.00,0.00,0.00,0.00
21615.09,0.00,0.00,0.00,0.00,0.00
21641.92,0.00,0.00,0.00,0.00,0.00
21668.75,0.00,0.00,0.00,0.00,0.00
21695.58,0.00,0.00,0.00,0.00,0.00
21722.41,0.00,0.00,0.00,0.00,0.00
21749.24,0.00,0.00,0.00,0.00,0.00
21776.07,0.00,0.00,0.00,0.00,0.00
21802.90,0.00,0.00,0.00,0.00,0.00
21829.73,0.00,0.00,0.00,0.00,0.00
21856.56,0.00,0.00,0.00,0.00,0.00
21883.40,0.00,0.00,0.00,0.00,0.00
21910.23,0.00,0.00,0.00,0.00,0.00
21937.06,0.00,0.00,0.00,0.00,0.00
21963.89,0.00,0.00,0.00,0.00,0.00
21990.72,0.00,0.00,0.00,0.00,0.00
22017.55,0.00,0.00,0.00,0.00,0.00
22044.38,0.00,0.00,0.00,0.00,0.00
22071.21,0.00,0.00,0.00,0.00,0.00
22098.04,0.00,0.00,0.00,0.00,0.00
22124.87,0.00,0.00,0.00,0.00,0.00
22151.70,0.00,0.00,0.00,0.00,0.00
22178.53,0.00,0.00,0.00,0.00,0.00
22205.36,0.00,0.00,0.00,0.00,0.00
